/home/ubuntu/micromamba/envs/minLM/lib/python3.12/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Number of rows in train dataset: 1165029
Number of rows in test dataset: 2891
num decayed parameter tensors: 50, with 222,793,200 parameters
num non-decayed parameter tensors: 25, with 27,000 parameters
using fused AdamW: True
Iter 0 | Perplexity: 57534.78515625
Epoch 0.0
Iter 0 | LR: 0.0003 | MFU: 0.04776321498834135 | time 116.35s | Loss: inf
Iter 58000 | LR: 0.0002777873942813905 | MFU: 0.026107635600484333 | time 210.50s | Loss: 0.7304998090118169
Iter 58500 | LR: 0.00027741478777178506 | MFU: 0.026138058129126153 | time 210.40s | Loss: 0.7297827401757242
Iter 59000 | LR: 0.0002770393921341729 | MFU: 0.026164868413830315 | time 210.45s | Loss: 0.7350045568495988
Iter 59500 | LR: 0.00027666121759194564 | MFU: 0.026188798583665608 | time 210.46s | Loss: 0.7193989961594344
Iter 60000 | Perplexity: 38.0818977355957
Iter 60000 | LR: 0.0002762802744441746 | MFU: 0.025845883450665443 | time 244.16s | Loss: 0.7275802877545362
Iter 60500 | LR: 0.0002758965730653304 | MFU: 0.025901939031575463 | time 210.44s | Loss: 0.7285152126103639
Iter 61000 | LR: 0.0002755101239050003 | MFU: 0.025952561925265072 | time 210.43s | Loss: 0.730584562383592
Iter 61500 | LR: 0.0002751209374876037 | MFU: 0.025998139671304002 | time 210.43s | Loss: 0.7297168279439208
Iter 62000 | LR: 0.0002747290244121054 | MFU: 0.02603912807629812 | time 210.43s | Loss: 0.7213107276707892
Iter 62500 | LR: 0.00027433439535172715 | MFU: 0.026076197863898094 | time 210.42s | Loss: 0.717229089513421
Iter 63000 | LR: 0.00027393706105365674 | MFU: 0.026109170278265925 | time 210.45s | Loss: 0.7319236395135519
Iter 63500 | LR: 0.00027353703233875555 | MFU: 0.02613771394199908 | time 210.54s | Loss: 0.7270674024522306
Iter 64000 | LR: 0.0002731343201012638 | MFU: 0.0261635904988272 | time 210.52s | Loss: 0.7178327403962612
Iter 64500 | LR: 0.0002727289353085037 | MFU: 0.026188420769985284 | time 210.40s | Loss: 0.7198030240088709
Iter 65000 | Perplexity: 36.08921432495117
Iter 65000 | LR: 0.0002723208890005809 | MFU: 0.0258443180573852 | time 244.29s | Loss: 0.7204798048362134
Iter 65500 | LR: 0.00027191019229008375 | MFU: 0.025900906393709826 | time 210.41s | Loss: 0.7142941012978548
Iter 66000 | LR: 0.00027149685636178094 | MFU: 0.025950864609756638 | time 210.49s | Loss: 0.7070015450567011
Iter 66500 | LR: 0.00027108089247231647 | MFU: 0.02599665594051899 | time 210.42s | Loss: 0.7112353810667991
Iter 67000 | LR: 0.0002706623119499034 | MFU: 0.02603731662961995 | time 210.47s | Loss: 0.7052196587622169
Iter 67500 | LR: 0.0002702411261940152 | MFU: 0.026074664966811465 | time 210.41s | Loss: 0.71645583063364
Iter 68000 | LR: 0.00026981734667507536 | MFU: 0.026107901519107843 | time 210.44s | Loss: 0.7026504814997314
Iter 68500 | LR: 0.00026939098493414503 | MFU: 0.026138116552642823 | time 210.41s | Loss: 0.7097616579383612
Iter 69000 | LR: 0.00026896205258260865 | MFU: 0.026164862055377068 | time 210.45s | Loss: 0.7160436861962087
Iter 69500 | LR: 0.0002685305613018577 | MFU: 0.026189430924253996 | time 210.41s | Loss: 0.714006480686367
Iter 70000 | Perplexity: 34.11610794067383
Iter 70000 | LR: 0.0002680965228429727 | MFU: 0.025846285496396566 | time 244.18s | Loss: 0.719550812356174
Iter 70500 | LR: 0.0002676599490264031 | MFU: 0.0259027118296441 | time 210.41s | Loss: 0.6962900792807338
Iter 71000 | LR: 0.0002672208517416454 | MFU: 0.025953051188866365 | time 210.45s | Loss: 0.6954025969654318
Iter 71500 | LR: 0.00026677924294691934 | MFU: 0.025998525517262568 | time 210.43s | Loss: 0.7017402482777833
Iter 72000 | LR: 0.00026633513466884214 | MFU: 0.02603788171106122 | time 210.56s | Loss: 0.7056759197264914
Iter 72500 | LR: 0.00026588853900210124 | MFU: 0.02607513458505765 | time 210.41s | Loss: 0.6995561692491176
Iter 73000 | LR: 0.0002654394681091245 | MFU: 0.026108318254733125 | time 210.44s | Loss: 0.6953833275288341
Iter 73500 | LR: 0.00026498793421974947 | MFU: 0.026138193666790415 | time 210.44s | Loss: 0.7044556725025172
Iter 74000 | LR: 0.00026453394963088983 | MFU: 0.026164029135811385 | time 210.52s | Loss: 0.6987023658677931
Iter 74500 | LR: 0.000264077526706201 | MFU: 0.026187823777525567 | time 210.48s | Loss: 0.7032202412188048
Iter 75000 | Perplexity: 32.7342414855957
Iter 75000 | LR: 0.00026361867787574287 | MFU: 0.025844463264978818 | time 244.22s | Loss: 0.7036182012036444
Iter 75500 | LR: 0.00026315741563564187 | MFU: 0.025901008502120855 | time 210.42s | Loss: 0.7055420865863558
Iter 76000 | LR: 0.00026269375254775023 | MFU: 0.02594987755950822 | time 210.58s | Loss: 0.6952545768767594
Iter 76500 | LR: 0.000262227701239304 | MFU: 0.025994543733456135 | time 210.52s | Loss: 0.6954674211889507
